question_text,answer1_text,answer2_text,answer3_text,correct_id
tax,четыре,из/с,налог,3
director,второй,ловить,директор,3
position,позиция,наука,большой,1
player,часто,центральный,игрок,3
agree,соглашаться,на самом деле,компания,1
especially,особенно,исследование,общество,1
record,записывать,продолжать,убивать,1
pick,надеяться,выбирать,администрация,2
wear,лечение,носить (одежду),операция,2
paper,бумага,готов,иностранный,1
special,ожидать,специльно,событие,2
space,пространство,целый,мало,1
ground,сказать,земля,без,2
form,формировать,спор,сидение,1
support,помощь,отчет,мальчик,1
event,проблема,событие,кто,2
official,официальный,центр,возраст,1
whose,к,чей,конференция,2
matter,чисто,лето,иметь значение,3
everyone,давть,все,и,2
center,центр,телефон,миллион,1
couple,офиц,пара,взрослый,2
site,сайт,близко,помнить,1
project,наименее,проект,почему,2
hit,большинство,люди,удар,3
base,международный,запас,база,3
activity,иметь значение,просто,занятие,3
star,показывать,звезда,десятилетие,2
table,стол,новости,покидать,1
court,точка (зрения),улучшать,корт,3
produce,производить,иностранный,американский,1
eat,учение,есть,слышать,2
teach,преподавать,кто-нибудь,холодный,1
oil,развитие,масло,американский,2
half,половина,образование,мой,1
situation,среди,помощь,ситуация,3
easy,легко,если,один,1
cost,полный,стоимость,сторона,2
industry,индустрия,степень,работник,1
figure,фигура,взрослый,само,1
street,улица,линия,решать,1
image,изображение,что-нибудь,сообщение,1
itself,само,год,лидер,1
phone,телефон,след,неделя,1
either,голубой,или,сидение,2
data,север,данные,стратегия,2
cover,пока,покрывать,модель,2
quite,доктор,и,довольно,3
picture,картинка,красивый,лучше,1
clear,терять,здорово,чисто,3
practice,пока,практика,покидать,2
piece,мир,поддерживать,что,1
land,серьезный,снова,земля,3
recent,входить,страница,недавний,3
describe,статья,описывать,лечить,2
product,миллиард,продукт,положил,2
doctor,встреча,письмо,доктор,3
wall,наконец,интерес,стена,3
patient,кто-нибудь,состоять из,пациент,3
worker,такой,рабочий,участник,2
news,и,практика,новости,3
test,знак/подпись,основа,тест,3
movie,ранее,фильм,открывать,2
certain,недавний,определенный,хранить,2
north,север,лучший,влияние,1
personal,офиц,отношение,личный,3
simply,легко,знания,единственный,1
third,третий,хранить,церковь,1
technology,тот,технология,проходить,2
catch,внутри,ловить,море,2
step,избегать,ребенок,шаг,3
baby,возможно,младенец,она,2
computer,случай,глава,компьютер,3
type,тип,сделка,учение,1
attention,внимание,получать,вещь,1
draw,рисовать,"за, вне",направление,1
film,фильм,проверять,навык,1
Republican,теория,республиканец,сражаться,2
tree,дерево,рука,список,1
source,социальный,источник,сумма,2
red,от/прочь,команда,красный,3
nearly,международный,приблизительно,заряжать,2
organization,организация,имущество,покрывать,1
choose,федеральный,побеждать,выбирать,3
cause,водить,надеяться,причина,3
hair,намерение,оставаться,волосы,3
century,позволять,взбивать,век,3
evidence,компания,докзательства,сын,2
window,окно,снова,твой,1
difficult,сложный,встречать,свет,1
listen,слушать,главный,играть,1
soon,скоро,работник,нация,1
culture,земля,культура,конкректный,2
billion,список,внезапно,миллиард,3
chance,жена,шанс,демократ,2
brother,успех,приказ,брат,3
energy,оружие,данные,энергия,3
period,период,находить,принуждать,1
summer,класс,пациент,лето,3
realize,реализовывать,давление,в соответствии,1
hundred,избегать,на/в,сто,3
available,доступный,пара,скучать,1
plant,многие,растение,постройка,2
likely,вероятно,глава,старый,1
opportunity,но,возможность,сторона,2
term,срок,возрастать,помогать,1
short,короткий,влияние,лицо,1
letter,дорога,письмо,выгода,2
condition,возрастать,летать,состояние,3
choice,внезапно,выбор,менеджер,2
single,один/одинокий,внезапно,открывать,1
rule,место,исследовать,правило,3
daughter,дочь,забота,останавливаться,1
administration,администрация,сражаться,кто,1
south,из/от/об,юг,однажды,2
husband,муж,интервью,немного,1
Congress,открывать,лгать,Конгресс,3
floor,сцена,пол/этаж,приближение,2
campaign,кампания,разум,тест,1
material,информация,материал,несколько,2
population,плохой,в качестве,нселение,3
economy,экономика,снаружи,от/прочь,1
medical,медицинский,вещь,создавать,1
hospital,больница,о/об,вечер,1
church,церковь,рабочий,хотеть,1
close,снабжать,закрывать,профессор,2
thousand,бизнес,основа,тысяча,3
risk,компания,между,риск,3
current,запад,лежать,текущий,3
fire,коробка,огонь,описывать,2
future,будущее,показывать,разрешать,1
wrong,платить,неправильный,история,2
involve,определять,скорее,включать,3
defense,стоимость,защита,оружие,2
anyone,молодой,сами,кто-нибудь,3
increase,увеличивать,верить,первый,1
security,стол,очень,безопасность,3
bank,занятие,сравнивать,банк,3
myself,красивый,выглядит,сам,3
certainly,определенно,встречать,наименее,1
west,право,запад,компания,2
sport,тело,спорт,здесь,2
board,строить,борт,стратегия,2
seek,носить (одежду),искать,младенец,2
per,нация,верх,за,3
subject,песня,правильно,предмет,3
officer,сцена,фокус,офицер,3
private,приватный,на/в,скорее,1
rest,общество,ты/вы,отдых,3
behaviour,утро,низкий,поведение,3
deal,дело,записывать,политика,1
performance,вверх,однако,представление,3
fight,управлять,боль,сражаться,3
throw,иностранный,через,структура,2
top,приватный,город,топ,3
quickly,чей,восемь,быстро,3
past,прошлое,начинать,сам,1
goal,сестра,цель,поведение,2
bed,доказывать,кровать,лгать,2
order,приказ,жить,один,1
author,вес,автор,поздний,2
fill,заполнять,пол/этаж,убыток,1
represent,представлять,возможно,упоминать,1
focus,мое,результат,фокус,3
foreign,меньший,иностранный,клеточка,2
drop,падать,человек,видеть,1
blood,неделя,красиво,кровь,3
upon,формировать,земля,на/по,3
agency,может,агентство,домой,2
push,операция,толкать,школа,2
nature,из/с,мало,природа,3
color,понимать,сестра,цвет,3
recently,помощь,серии,недавно,3
store,источник,этот,магазин,3
reduce,достаточно,приближение,снижать,3
sound,экономика,звучать,черный,2
note,сообщество,нота,бумага,2
fine,в качестве,узнавать,отлично,3
near,конференция,иностранный,близко,3
movement,бежать,центральный,движение,3
page,страница,те,процесс,1
enter,вместе,давление,входить,3
share,те,делиться,верить,2
common,общий,к,команда,1
poor,этап,слушать,бедный,3
natural,способен,покидать,естественный,3
race,поле,запас,раса,3
concern,как,беспокойство,операция,2
series,нога,тоже,серии,3
significant,возможность,значительный,уровень,2
similar,раздел,разница,похожий,3
hot,десятилетие,горячий,игрок,2
language,низкий,язык,текущий,2
usually,обычно,тогда,открытый,1
response,база,сидение,ответ,3
dead,сделка,мертвый,спектр,2
rise,преподавать,этот,возрастать,3
animal,организация,поле,животное,3
factor,фактор,вероятно,налог,1
decade,хранить,десятилетие,финансовый,2
article,статья,тысяча,лето,1
shoot,стрелять,включать,стиль,1
east,восток,персонаж,темп,1
save,личный,сохранять,обсуждать,2
seven,семь,песня,колледж,1
artist,второй,здорово,художник,3
scene,магазин,сцена,целый,2
stock,работник,секс,запас,3
career,от/с,карьера,фильм,2
despite,несмотря на,представлять,идея,1
central,рассказывать,мяч,центральный,3
eight,делать,восемь,искать,2
thus,тренировка,таким образом,возможный,2
treatment,дело,станция,лечение,3
beyond,"за, вне",мальчик,красиво,1
happy,счастливый,местный,выполнять,1
exactly,занятие,ночь,тоно,3
protect,энергия,видение,защищать,3
approach,ребенок,приближение,учреждение,2
lie,однако,снижать,лгать,3
size,в пределах,размер,девочка,2
dog,приватный,собака,персонал,2
fund,поэтому,фонд,красный,2
serious,вместо,серьезный,прошлое,2
occur,происходить,чей,проблема,1
media,лето,учение,медиа,3
ready,недавний,готов,показывать,2
sign,культура,знак/подпись,рассматривать,2
list,боль,список,и,2
individual,приватный,поддерживать,индивидуальный,3
simple,простой,тоже,неделя,1
quality,пара,качество,решать,2
pressure,лечить,корт,давление,3
accept,люди,серьезный,принимать,3
answer,ответ,начинать,воздействовать,1
resource,побеждать,ресурс,наука,2
identify,зад,идентифицировать,развитие,2
left,популярный,покидать,позволять,2
meeting,встреча,естественный,недавний,1
determine,определять,огромный,зеленый,1
prepare,неправильный,подготавливать,основа,2
desease,сложный,болезнь,защищать,2
success,конференция,успех,личный,2
argue,этой ночью,позволять,спор,3
cup,здесь,чашка,смеяться,2
particularly,тип,тебя самого,особенно,3
amount,без разницы,сумма,старый,2
ability,возможность,море,теория,1
staff,персонал,определять,сердце,1
recognize,узнавать,фигура,останавливаться,1
indicate,указывать на,план,имя,1
character,хранить,стакан,персонаж,3
growth,рост,фактор,возможность,1
loss,бумага,убыток,останавливаться,2
degree,письмо,разум,степень,3
wonder,общественность,удивляться,проблема,2
attack,или,серии,атака,3
herself,дом,тебя самого,сама,3
region,несколько,регион,меньший,2
television,телевидение,дочь,нация,1
box,дочь,коробка,восемь,2
training,пять,тренировка,красиво,2
pretty,индустрия,красивый,нести,2
trade,торговя,теория,до сих пор,1
election,казаться,выборы,стоимость,2
everybody,каждый,законный,деньги,1
physical,внутри,физический,федеральный,2
lay,включать,все,лежать,3
general,вне/далеко,сзади/за,общий,3
feeling,огонь,полиция,чувство,3
standart,сообщество,стандарт,рабочий,2
bill,счет,Конгресс,выгода,1
message,тоже,дело,сообщение,3
fail,неудача,из/с,месяц,1
outside,снаружи,особенно,улица,1
arrive,кандидат,животное,прибывать,3
analysis,анализ,испытание,короткий,1
benefit,значительный,выгода,раздел,2
sex,знания,тот,секс,3
forward,напрямую,камера,вес,1
lawyer,ждать,горячий,юрист,3
present,роль,дарить,мера,2
section,здоровье,раздел,открытый,2
environmental,проходить,чувствовать,экологический,3
glass,читать,стакан,брать,2
skill,большинство,навык,низкий,2
sister,среди,зеленый,сестра,3
professor,профессор,заканчивать,чувство,1
operation,голос,операция,горячий,2
financial,ясно,финансовый,да,2
crime,преступление,реагировать,несколько,1
stage,казаться,любовь,этап,3
ok,жить,команда,ок,3
compare,удивляться,сам,сравнивать,3
authority,ответ,продавать,полномочие,3
miss,скучать,вешать,готов,1
design,вокруг,дизайн,человек,2
sort,действительно,вид,становиться,2
act,действовать,хороший,колледж,1
ten,легко,что,десять,3
knowledge,фильм,объяснять,знания,3
gun,значительно,оружие,с тех пор,2
station,станция,вид,свободный,1
blue,учить,темный,голубой,3
strategy,стратегия,просто,блюдо,1
clearly,ясно,от,возможно,1
discuss,обсуждать,назад,здорово,1
indeed,ситуация,действительно,из/с,2
truth,жить,атака,правда,3
song,телефон,песня,любовь,2
example,управлять,пример,страх,2
democratic,взрослый,миллион,демократический,3
check,масло,проверять,заканчивать,2
environment,нет,окружающая среда,или,2
leg,американский,нога,побеждать,2
dark,такой,экономика,темный,3
various,различный,до сих пор,друг,1
rather,стакан,болтовня,скорее,3
laugh,смеяться,разный,сцена,1
guess,догадываться,этого,пространство,1
executive,продавать,звук,должностное лицо,3
prove,центральный,доказывать,линия,2
hang,вешать,деньги,влиять,1
entire,быстро,целый,пока,2
rock,создавать,сын,рок,3
forget,забывать,след,цвет,1
claim,старый,спрашивать,требовать,3
remove,удалять,простой,семья,1
manager,меньше,спор,менеджер,3
enjoy,наслаждаться,темп,уровень,1
network,мистер,работать,сеть,3
legal,законный,муж,риск,1
religious,группа,религиозный,скоро,2
cold,различный,менять,холодный,3
final,еда,открывать,финал,3
main,помнить,международный,главный,3
sience,каждый,десятилетие,наука,3
green,вероятно,следующий,зеленый,3
memory,память,пока,доктор,1
card,карта,мысль,брать,1
above,естественный,сверх,нога,2
seat,смотреть,сидение,семья,2
cell,идти,клеточка,хороший,2
establish,сильный,важный,установить,3
nice,отлично,выгода,там,1
trail,след,следующий,хотя,1
expert,природа,возрастать,эксперт,3
spring,весна,зеленый,толкать,1
firm,фирма,мой,тоже,1
Democrat,общаться,демократ,интерес,2
radio,который,общество,радио,3
visit,ее,происходить,посещать,3
manage,хотеть,управлять,имущество,2
avoid,учить,избегать,занятие,2
imagine,однако,кровь,воображать,3
tonight,этой ночью,карьера,сеть,1
huge,огромный,о/об,лечение,1
ball,тогда,читать,мяч,3
finish,заканчивать,лежать,текущий,1
yourself,ломать,присоединяться,тебя самого,3
theory,теория,поздний,заботиться,1
impact,бедный,влияние,поддержка,2
respond,стакан,реагировать,основа,2
statement,политический,должностное лицо,утверждение,3
maintain,приближение,поддерживать,точка (зрения),2
charge,чашка,заряжать,команда,2
popular,единственный,популярный,пример,2
traditional,традиционный,формировать,практика,1
onto,успех,сервис,на,3
reveal,список,раскрывать,источник,2
direction,опыт,направление,сообщество,2
weapon,поведение,снаряжение,учение,2
employee,работник,заряжать,улица,1
cultural,культурный,ресурс,сила,1
contain,взрослый,состоять из,снижать,2
peace,открывать,мир,вокруг,2
pain,боль,болезнь,направление,1
apply,заявлять,усилия,только,1
measure,такой,юг,мера,3
wide,данные,сеть,влиять,2
shake,сестра,взбивать,такой,2
fly,летать,улица,позиция,1
interview,хотя,интервью,неделя,2
chair,покидать,происходить,стул,3
fish,естественный,навык,рыба,3
particular,довольно,определенный,национальный,2
camera,камера,мало,пытаться,1
structure,структура,нуждаться,покупать,1
politics,американец,политика,несмотря на,2
perform,выполнять,сегодня,качество,1
bit,кусочек,родитель,программа,1
weight,давление,вес,набор,2
suddenly,первый,воздействовать,внезапно,3
discover,строить,дело,исследовать,3
candidate,звук,оставаться,кандидат,3
production,производство,мир,определенно,1
treat,думать,лечить,сравнивать,2
trip,идея,путешествие,намерение,2
evening,вечер,рано,стоимость,1
affect,воздействовать,достигать,американец,1
inside,внутри,вес,возвращаться,1
conference,значительно,мечта/сон,конференция,3
unit,пиать,становиться,часть,3
style,банк,подготавливать,стиль,3
adult,взрослый,одинаковый,вверх,1
worry,волноваться,человек,из/с,1
range,свободный,спектр,животное,2
mention,доступный,упоминать,лицо,2
deed,догадываться,домой,дело,3
edge,масло,основа,край,3
specific,ок,конкректный,разум,2
writer,записывать,свет,писатель,3
trouble,профессор,проблема,коробка,2
necessary,естественный,сезон,важно,3
thoughout,эксперт,на протяжении,американский,2
challenge,испытание,век,им,1
fear,налог,как,страх,3
shoulder,определенный,плечо,другой,2
institution,журнал,она,учреждение,3
middle,скучать,поддержка,средний,3
sea,финансовый,море,сердце,2
dream,спрашивать,люди,мечта/сон,3
magazine,так как,журнал,теория,2
bar,бар,туда,опыт,1
beautiful,сидеть,проблема,красиво,3
property,взбивать,вода,имущество,3
instead,скоро,вместо,заявлять,2
improve,улучшать,обсуждать,образование,1
stuff,выбор,персонал,различный,2
detail,или,деталь,болезнь,2
method,модель,некоторые,метод,3
